#N = 2756675
#North = 76.6616 deg
-180	88
-179	95
-178	95
-177	110
-176	100
-175	113
-174	112
-173	124
-172	109
-171	148
-170	155
-169	167
-168	182
-167	167
-166	190
-165	201
-164	203
-163	215
-162	211
-161	212
-160	197
-159	290
-158	244
-157	265
-156	278
-155	279
-154	323
-153	333
-152	345
-151	404
-150	357
-149	400
-148	412
-147	459
-146	465
-145	484
-144	469
-143	495
-142	556
-141	547
-140	572
-139	614
-138	625
-137	656
-136	667
-135	728
-134	729
-133	720
-132	854
-131	847
-130	918
-129	913
-128	999
-127	1024
-126	1038
-125	1102
-124	1088
-123	1165
-122	1177
-121	1307
-120	1290
-119	1354
-118	1488
-117	1494
-116	1486
-115	1688
-114	1775
-113	1737
-112	1830
-111	1974
-110	1911
-109	2041
-108	2152
-107	2244
-106	2363
-105	2426
-104	2607
-103	2624
-102	2746
-101	2821
-100	2938
-99	3047
-98	3261
-97	3249
-96	3464
-95	3683
-94	3839
-93	3894
-92	3969
-91	4156
-90	4375
-89	4661
-88	4684
-87	4922
-86	5113
-85	5250
-84	5598
-83	5787
-82	5923
-81	6264
-80	6489
-79	6872
-78	7157
-77	7390
-76	7513
-75	7941
-74	8384
-73	8625
-72	9064
-71	9532
-70	9868
-69	10283
-68	10893
-67	11161
-66	11628
-65	12284
-64	13040
-63	13728
-62	14084
-61	14683
-60	15387
-59	16356
-58	16782
-57	17694
-56	18566
-55	19737
-54	20868
-53	21801
-52	23028
-51	24712
-50	25796
-49	27679
-48	29662
-47	31601
-46	33412
-45	36285
-44	40236
-43	41629
-42	42607
-41	44723
-40	47316
-39	51066
-38	51491
-37	51736
-36	53077
-35	56197
-34	57867
-33	57467
-32	55634
-31	56596
-30	58576
-29	57280
-28	56515
-27	54226
-26	53564
-25	55299
-24	53887
-23	52150
-22	49647
-21	48010
-20	49375
-19	49680
-18	45710
-17	44060
-16	42794
-15	41575
-14	40267
-13	38144
-12	36264
-11	35009
-10	32426
-9	31846
-8	29584
-7	27317
-6	26013
-5	24003
-4	22042
-3	20015
-2	18111
-1	16394
0	14608
1	12271
2	10742
3	8883
4	7868
5	6038
6	5220
7	4097
8	3396
9	2986
10	2379
11	2116
12	1837
13	1556
14	1455
15	1172
16	1129
17	1092
18	973
19	836
20	781
21	731
22	671
23	651
24	608
25	484
26	498
27	467
28	462
29	384
30	392
31	320
32	296
33	273
34	289
35	259
36	217
37	247
38	217
39	203
40	172
41	155
42	153
43	125
44	131
45	116
46	101
47	87
48	73
49	85
50	82
51	66
52	61
53	53
54	62
55	54
56	48
57	44
58	37
59	44
60	36
61	41
62	33
63	16
64	20
65	16
66	16
67	11
68	11
69	6
70	4
71	5
72	8
73	8
74	5
75	2
76	3
77	4
78	2
79	1
80	2
81	1
82	2
83	0
84	0
85	0
86	0
87	0
88	1
89	0
90	0
91	0
92	0
93	0
94	2
95	0
96	0
97	0
98	0
99	0
100	2
101	0
102	0
103	3
104	1
105	1
106	2
107	1
108	2
109	1
110	0
111	2
112	0
113	3
114	2
115	2
116	0
117	2
118	2
119	2
120	2
121	3
122	1
123	3
124	5
125	10
126	4
127	3
128	5
129	4
130	3
131	4
132	6
133	8
134	7
135	12
136	5
137	8
138	6
139	8
140	7
141	10
142	5
143	10
144	9
145	13
146	11
147	25
148	10
149	14
150	28
151	20
152	19
153	21
154	15
155	26
156	32
157	29
158	50
159	49
160	36
161	32
162	48
163	29
164	57
165	55
166	59
167	50
168	47
169	57
170	65
171	57
172	61
173	67
174	71
175	68
176	64
177	63
178	82
179	80
