#N = 4039464
#North = 76.6616 deg
-180	0
-179	0
-178	0
-177	0
-176	0
-175	1
-174	0
-173	4
-172	4
-171	3
-170	5
-169	3
-168	8
-167	9
-166	7
-165	11
-164	10
-163	17
-162	15
-161	21
-160	20
-159	25
-158	38
-157	28
-156	47
-155	48
-154	66
-153	54
-152	79
-151	84
-150	88
-149	114
-148	102
-147	157
-146	146
-145	159
-144	187
-143	202
-142	229
-141	247
-140	284
-139	314
-138	304
-137	387
-136	420
-135	460
-134	495
-133	535
-132	595
-131	615
-130	688
-129	753
-128	803
-127	892
-126	942
-125	1026
-124	1101
-123	1178
-122	1273
-121	1350
-120	1460
-119	1594
-118	1678
-117	1838
-116	1926
-115	2092
-114	2273
-113	2387
-112	2563
-111	2757
-110	2956
-109	3169
-108	3302
-107	3531
-106	3713
-105	3951
-104	4106
-103	4320
-102	4596
-101	4920
-100	5118
-99	5358
-98	5582
-97	5804
-96	6122
-95	6357
-94	6546
-93	6898
-92	7137
-91	7394
-90	7705
-89	8002
-88	8287
-87	8558
-86	8874
-85	9088
-84	9361
-83	9680
-82	9865
-81	10125
-80	10441
-79	10707
-78	10907
-77	11228
-76	11413
-75	11641
-74	11979
-73	12239
-72	12480
-71	12812
-70	13116
-69	13409
-68	13850
-67	14202
-66	14595
-65	14970
-64	15463
-63	15718
-62	16143
-61	16641
-60	17370
-59	17962
-58	18937
-57	19647
-56	20781
-55	21840
-54	23131
-53	24774
-52	26640
-51	28775
-50	31706
-49	34682
-48	37687
-47	41835
-46	46854
-45	51842
-44	57132
-43	61783
-42	65597
-41	69083
-40	72358
-39	76031
-38	79365
-37	81956
-36	84947
-35	87765
-34	89786
-33	91284
-32	91552
-31	91409
-30	91563
-29	91766
-28	91120
-27	89124
-26	87834
-25	87599
-24	86778
-23	83844
-22	80391
-21	79097
-20	78062
-19	76478
-18	73150
-17	68979
-16	65989
-15	63238
-14	61165
-13	58303
-12	55286
-11	52171
-10	48896
-9	45972
-8	43075
-7	39789
-6	36410
-5	33753
-4	31064
-3	28222
-2	25352
-1	22318
0	19996
1	17185
2	14625
3	12287
4	10108
5	8092
6	6377
7	4907
8	3674
9	2639
10	1942
11	1437
12	1094
13	733
14	488
15	312
16	237
17	140
18	102
19	70
20	39
21	29
22	23
23	19
24	10
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
