elevation	error1	error2
21.6	3.53929	-3.89449
21.7	3.61578	-3.97397
21.8	3.62064	-4.05371
21.9	3.69867	-3.98599
22	3.77564	-4.06593
22.1	3.78073	-4.14607
22.2	3.78583	-4.22645
22.3	3.79094	-4.23204
22.4	3.86971	-4.23908
22.5	3.94737	-4.31988
22.6	3.95268	-4.40092
22.7	4.03199	-4.40816
22.8	4.03741	-4.4895
22.9	4.04282	-4.57108
23	4.12256	-4.57852
23.1	4.12809	-4.73635
23.2	4.20812	-4.74406
23.3	4.21378	-4.82636
23.4	4.29414	-4.91044
23.5	4.37475	-4.91832
23.6	4.38056	-5.00116
23.7	4.46146	-5.08582
23.8	4.54258	-5.1707
23.9	4.54859	-5.25414
24	4.63001	-5.33948
24.1	4.71164	-5.42501
24.2	4.79351	-5.51076
24.3	4.80135	-5.59675
24.4	4.88354	-5.68288
24.5	4.96592	-5.76929
24.6	4.97397	-5.85587
24.7	5.05666	-5.94265
24.8	5.13955	-6.10778
24.9	5.14777	-6.19507
25	5.30762	-6.28433
25.1	5.31605	-6.45057
25.2	5.39966	-6.61724
25.3	5.48515	-6.70734
25.4	5.56915	-6.87474
25.5	5.6551	-6.96528
25.6	5.73945	-7.21272
25.7	5.82578	-7.38328
25.8	5.91238	-7.5542
25.9	5.99914	-7.72551
26	6.16219	-7.89719
26.1	6.24943	-8.14935
26.2	6.33689	-8.40203
26.3	6.42451	-8.65531
26.4	6.59079	-8.91125
26.5	6.6789	-9.24626
26.6	6.84591	-9.58417
26.7	7.01335	-9.92281
26.8	7.0251	-10.4223
26.9	7.27225	-10.8459
27	7.44076	-11.4311
27.1	7.53222	-12.1808
27.2	7.78097	-12.9343
27.3	7.87292	-14.0966
27.4	8.12263	-15.7562
27.5	8.37504	NaN
27.6	8.54787	NaN
27.7	8.80133	NaN
27.8	9.05534	NaN
27.9	9.30985	NaN
28	9.64562	NaN
28.1	10.063	NaN
28.2	10.4025	NaN
28.3	10.8216	NaN
28.4	11.3251	NaN
28.5	11.8296	NaN
28.6	12.4983	NaN
28.7	13.332	NaN
28.8	14.495	NaN
28.9	15.991	NaN
