elevation	error1	error2
0.1	0.0629245	-0.0629095
0.2	0.125763	-0.0628656
0.3	0.125662	-0.125624
0.4	0.188358	-0.125525
0.5	0.188236	-0.250854
0.6	0.188094	-0.250652
0.7	0.250605	-0.250445
0.8	0.313038	-0.250249
0.9	0.250249	-0.312589
1	0.312589	-0.312338
1.1	0.374838	-0.312097
1.2	0.374598	-0.37425
1.3	0.374301	-0.373957
1.4	0.374074	-0.435965
1.5	0.436102	-0.43563
1.6	0.435831	-0.497503
1.7	0.497739	-0.497106
1.8	0.497431	-0.496805
1.9	0.497039	-0.496411
2	0.496726	-0.558076
2.1	0.558424	-0.495719
2.2	0.558076	-0.557305
2.3	0.557732	-0.618792
2.4	0.619275	-0.556525
2.5	0.618895	-0.617935
2.6	0.618505	-0.617563
2.7	0.618133	-0.678852
2.8	0.679469	-0.616719
2.9	0.679055	-0.677931
3	0.678644	-0.67753
3.1	0.678241	-0.677113
3.2	0.677827	-0.738179
3.3	0.67742	-0.737739
3.4	0.80011	-0.675812
3.5	0.799631	-0.736764
3.6	0.799163	-0.736329
3.7	0.798686	-0.735907
3.8	0.798216	-0.796712
3.9	0.797752	-0.796257
4	0.858675	-0.795803
4.1	0.858188	-0.795346
4.2	0.857689	-0.794899
4.3	0.857198	-0.794454
4.4	0.917974	-0.855029
4.5	0.856351	-0.915661
4.6	0.855862	-0.91516
4.7	0.916549	-0.914653
4.8	0.916035	-0.914169
4.9	0.915536	-0.913665
5	0.976103	-0.913175
5.1	0.975571	-0.912693
5.2	0.914169	-0.973082
5.3	0.974644	-0.972585
5.4	0.974118	-0.972089
5.5	0.973611	-0.971584
5.6	1.03397	-0.971101
5.7	0.972715	-1.03134
5.8	1.03304	-1.03081
5.9	1.03251	-1.0303
6	1.09275	-0.96928
6.1	1.03159	-1.02942
6.2	1.09178	-1.02893
6.3	1.09124	-1.02845
6.4	1.09084	-1.08848
6.5	1.09031	-1.08798
6.6	1.1504	-1.02711
6.7	1.08939	-1.08711
6.8	1.14944	-1.08661
6.9	1.08848	-1.14654
7	1.1485	-1.08576
7.1	1.14797	-1.08529
7.2	1.14757	-1.14516
7.3	1.14704	-1.14467
7.4	1.14666	-1.14431
7.5	1.20654	-1.14383
7.6	1.14577	-1.20361
7.7	1.20563	-1.14303
7.8	1.20523	-1.20277
7.9	1.20473	-1.20229
8	1.20435	-1.20195
8.1	1.20385	-1.2015
8.2	1.20349	-1.26115
8.3	1.26321	-1.20071
8.4	1.20264	-1.26034
8.5	1.26235	-1.19995
8.6	1.26199	-1.25956
8.7	1.32163	-1.25913
8.8	1.26115	-1.2588
8.9	1.32077	-1.25839
9	1.32042	-1.25808
9.1	1.26001	-1.31762
9.2	1.3196	-1.25739
9.3	1.31926	-1.31691
9.4	1.37881	-1.25671
9.5	1.31848	-1.31621
9.6	1.31815	-1.31594
9.7	1.37769	-1.31555
9.8	1.37735	-1.31529
9.9	1.31709	-1.37476
10	1.37661	-1.31468
10.1	1.3763	-1.37413
10.2	1.376	-1.37388
10.3	1.43546	-1.37355
10.4	1.37532	-1.3733
10.5	1.37502	-1.43273
10.6	1.43449	-1.37276
10.7	1.43419	-1.43219
10.8	1.43392	-1.43196
10.9	1.49335	-1.37205
11	1.43331	-1.43145
11.1	1.43306	-1.43126
11.2	1.4328	-1.49067
11.3	1.49223	-1.43082
11.4	1.49196	-1.43065
11.5	1.49174	-1.49005
11.6	1.4915	-1.48988
11.7	1.5509	-1.43012
11.8	1.55067	-1.48953
11.9	1.4908	-1.48939
12	1.4906	-1.48924
12.1	1.4904	-1.54866
12.2	1.54981	-1.48895
12.3	1.54963	-1.48884
12.4	1.54946	-1.54827
12.5	1.54929	-1.54818
12.6	1.54913	-1.54809
12.7	1.60854	-1.54798
12.8	1.60839	-1.54791
12.9	1.60825	-1.54786
13	1.60812	-1.60733
13.1	1.608	-1.60728
13.2	1.60788	-1.60724
13.3	1.66731	-1.54769
13.4	1.66721	-1.60719
13.5	1.60756	-1.6072
13.6	1.60749	-1.6072
13.7	1.60743	-1.60721
13.8	1.60737	-1.66677
13.9	1.60732	-1.66681
14	1.66679	-1.60732
14.1	1.66678	-1.60737
14.2	1.66673	-1.66698
14.3	1.66673	-1.66706
14.4	1.66674	-1.66714
14.5	1.66674	-1.66723
14.6	1.72627	-1.66734
14.7	1.7263	-1.72703
14.8	1.72633	-1.72716
14.9	1.72637	-1.72729
15	1.72643	-1.72746
15.1	1.78602	-1.66808
15.2	1.78611	-1.72784
15.3	1.78621	-1.72804
15.4	1.7863	-1.72824
15.5	1.7864	-1.72844
15.6	1.78653	-1.72866
15.7	1.78666	-1.72888
15.8	1.78678	-1.78881
15.9	1.78694	-1.78907
16	1.78712	-1.78933
16.1	1.78728	-1.78963
16.2	1.78746	-1.78992
16.3	1.78765	-1.79022
16.4	1.84744	-1.79054
16.5	1.84765	-1.85063
16.6	1.84788	-1.85101
16.7	1.84814	-1.85137
16.8	1.84839	-1.85176
16.9	1.84865	-1.85215
17	1.84894	-1.85255
17.1	1.84923	-1.85297
17.2	1.84954	-1.85339
17.3	1.84984	-1.91373
17.4	1.9098	-1.91419
17.5	1.91017	-1.91467
17.6	1.91051	-1.91518
17.7	1.91089	-1.9157
17.8	1.91129	-1.91622
17.9	1.91169	-1.91674
18	1.91209	-1.91731
18.1	1.91251	-1.91786
18.2	1.97267	-1.91844
18.3	1.97313	-1.97911
18.4	1.97363	-1.97973
18.5	1.97411	-1.98038
18.6	1.9746	-1.98103
18.7	1.97512	-1.9817
18.8	1.97566	-1.98239
18.9	2.03599	-1.98309
19	2.03655	-1.98379
19.1	2.03715	-1.98452
19.2	2.03775	-1.98526
19.3	2.03834	-1.98603
19.4	2.03898	-1.98679
19.5	2.09952	-1.98757
19.6	2.04007	-2.0485
19.7	2.04074	-2.04933
19.8	2.04141	-2.11064
19.9	2.04213	-2.11152
20	2.04281	-2.11245
20.1	2.10354	-2.11337
20.2	2.10429	-2.11431
20.3	2.10506	-2.11528
20.4	2.10586	-2.11623
20.5	2.10666	-2.11725
20.6	2.16756	-2.11826
20.7	2.16842	-2.11928
20.8	2.1693	-2.12033
20.9	2.1702	-2.12137
21	2.11064	-2.18291
21.1	2.17172	-2.18403
21.2	2.17264	-2.18516
21.3	2.1736	-2.18631
21.4	2.17456	-2.1875
21.5	2.17555	-2.1887
21.6	2.23683	-2.18989
21.7	2.23788	-2.1911
21.8	2.23896	-2.19235
21.9	2.24003	-2.19362
