elevation	error1	error2
0.1	0	-0.944641
0.2	0	-1.19661
0.3	0	-1.44861
0.4	0	-1.6377
0.5	0	-1.76382
0.6	0	-1.82696
0.7	0	-1.95316
0.8	0	-2.01637
0.9	0	-2.07961
1	0	-2.26895
1.1	0	-2.33227
1.2	0	-2.39564
1.3	0	-2.45904
1.4	2.45646	-2.45936
1.5	2.58253	-2.52283
1.6	2.64565	-2.58635
1.7	2.64575	-2.71294
1.8	2.7089	-2.77656
1.9	2.77207	-2.77702
2	2.83525	-2.84072
2.1	2.89847	-2.90447
2.2	2.9617	-2.90502
2.3	3.02495	-2.96886
2.4	2.96217	-3.09584
2.5	3.02546	-3.09649
2.6	3.08878	-3.16049
2.7	3.15213	-3.1612
2.8	3.2155	-3.2253
2.9	3.21591	-3.22607
3	3.27934	-3.29028
3.1	3.3428	-3.29111
3.2	3.34312	-3.41859
3.3	3.34361	-3.4195
3.4	3.40715	-3.48394
3.5	3.47072	-3.48492
3.6	3.47129	-3.54947
3.7	3.53492	-3.55052
3.8	3.59859	-3.61519
3.9	3.59925	-3.6163
4	3.66299	-3.68111
4.1	3.66346	-3.74559
4.2	3.66419	-3.74682
4.3	3.72802	-3.81181
4.4	3.7919	-3.8131
4.5	3.79272	-3.87824
4.6	3.85666	-3.87961
4.7	3.85755	-3.88101
4.8	3.92157	-3.94634
4.9	3.98564	-3.94781
5	3.92316	-4.07674
5.1	3.98728	-4.07831
5.2	3.98831	-4.07991
5.3	4.05252	-4.14561
5.4	4.05362	-4.14729
5.5	4.11791	-4.21314
5.6	4.11907	-4.2149
5.7	4.18346	-4.2167
5.8	4.18469	-4.28276
5.9	4.24917	-4.28463
6	4.18679	-4.35021
6.1	4.25134	-4.41653
6.2	4.25269	-4.41854
6.3	4.31733	-4.48502
6.4	4.31874	-4.48712
6.5	4.38349	-4.48927
6.6	4.38497	-4.55597
6.7	4.44982	-4.5582
6.8	4.45138	-4.56046
6.9	4.51633	-4.62742
7	4.51797	-4.62976
7.1	4.58302	-4.63214
7.2	4.58474	-4.69934
7.3	4.6499	-4.70181
7.4	4.58765	-4.83324
7.5	4.6529	-4.83584
7.6	4.65475	-4.83847
7.7	4.72011	-4.90615
7.8	4.72202	-4.90887
7.9	4.72398	-4.91163
8	4.7895	-4.97958
8.1	4.79153	-4.98243
8.2	4.85718	-5.05058
8.3	4.85929	-5.05354
8.4	4.86144	-5.05653
8.5	4.92727	-5.12495
8.6	4.9295	-5.12804
8.7	4.99545	-5.19668
8.8	4.99776	-5.19987
8.9	5.00011	-5.2031
9	5.06624	-5.27202
9.1	5.06868	-5.27536
9.2	5.13494	-5.34448
9.3	5.13747	-5.34792
9.4	5.14003	-5.35139
9.5	5.20648	-5.42083
9.6	5.20914	-5.4244
9.7	5.21181	-5.49405
9.8	5.27846	-5.49775
9.9	5.28123	-5.56763
10	5.34802	-5.57142
10.1	5.3509	-5.57525
10.2	5.35379	-5.64546
10.3	5.42079	-5.6494
10.4	5.42378	-5.7198
10.5	5.4268	-5.72387
10.6	5.49401	-5.79453
10.7	5.49714	-5.7987
10.8	5.50029	-5.86959
10.9	5.50347	-5.87388
11	5.57096	-5.94501
11.1	5.57425	-5.94942
11.2	5.57756	-6.02079
11.3	5.64527	-6.02532
11.4	5.71422	-6.03141
11.5	5.71771	-6.03601
11.6	5.78569	-6.10784
11.7	5.78929	-6.11255
11.8	5.79291	-6.18463
11.9	5.79658	-6.18946
12	5.86485	-6.26179
12.1	5.86862	-6.26675
12.2	5.87243	-6.33932
12.3	5.94093	-6.41208
12.4	5.94483	-6.41725
12.5	6.01485	-6.42418
12.6	6.01886	-6.42944
12.7	6.08772	-6.50266
12.8	6.09187	-6.57604
12.9	6.09602	-6.5815
13	6.10022	-6.65516
13.1	6.10444	-6.66075
13.2	6.24014	-6.66823
13.3	6.24452	-6.74229
13.4	6.24895	-6.74802
13.5	6.25341	-6.82234
13.6	6.32305	-6.89683
13.7	6.32762	-6.90281
13.8	6.39898	-6.9108
13.9	6.40368	-6.98568
14	6.4084	-6.99182
14.1	6.47849	-7.067
14.2	6.48333	-7.14233
14.3	6.55526	-7.15081
14.4	6.56022	-7.1572
14.5	6.56521	-7.23295
14.6	6.57025	-7.30888
14.7	6.70821	-7.31769
14.8	6.7134	-7.32435
14.9	6.71863	-7.40069
15	6.72389	-7.47723
15.1	6.79674	-7.4864
15.2	6.80214	-7.56324
15.3	6.80756	-7.64029
15.4	6.94668	-7.57961
15.5	6.95227	-7.65688
15.6	6.95791	-7.73432
15.7	6.96357	-7.81197
15.8	7.03729	-7.82179
15.9	7.04308	-7.89974
16	7.04891	-7.97788
16.1	7.12298	-7.98801
16.2	7.12894	-8.06648
16.3	7.20328	-8.07676
16.4	7.27575	-8.15555
16.5	7.28192	-8.23452
16.6	7.35667	-8.24514
16.7	7.36297	-8.32442
16.8	7.36932	-8.4039
16.9	7.44445	-8.41481
17	7.4509	-8.49464
17.1	7.52633	-8.50569
17.2	7.53291	-8.65766
17.3	7.60863	-8.66899
17.4	7.61535	-8.74951
17.5	7.69133	-8.76102
17.6	7.69819	-8.84189
17.7	7.77444	-8.92589
17.8	7.78142	-9.00718
17.9	7.85797	-9.0191
18	7.86509	-9.10068
18.1	7.9419	-9.18553
18.2	7.94915	-9.26752
18.3	8.02628	-9.35283
18.4	8.03364	-9.43526
18.5	8.11105	-9.44786
18.6	8.18864	-9.53378
18.7	8.19625	-9.61672
18.8	8.20644	-9.7031
18.9	8.21412	-9.78645
19	8.29223	-9.87331
19.1	8.37053	-9.96041
19.2	8.37842	-10.0444
19.3	8.45703	-10.132
19.4	8.53583	-10.1455
19.5	8.61481	-10.2335
