elevation	error1	error2
0.1	0	1.63258
0.2	0	2.06932
0.3	0	2.38002
0.4	0	2.56527
0.5	0	2.81286
0.6	0	2.99731
0.7	0	3.11923
0.8	0	3.17886
0.9	0	3.36294
1	0	3.42226
1.1	0	3.48148
1.2	0	3.603
1.3	0	3.66198
1.4	-4.07142	3.78319
1.5	-4.19404	3.78025
1.6	-4.25428	3.90119
1.7	-4.31376	3.89818
1.8	-4.37386	4.01886
1.9	-4.43319	4.01578
2	-4.49315	4.07477
2.1	-4.55232	4.13308
2.2	-4.61214	4.19192
2.3	-4.60924	4.2507
2.4	-4.73085	4.24752
2.5	-4.72788	4.3062
2.6	-4.78746	4.30364
2.7	-4.78447	4.36224
2.8	-4.84321	4.35904
2.9	-4.90263	4.41755
3	-4.89959	4.41499
3.1	-4.95892	4.47341
3.2	-4.95586	4.53178
3.3	-4.9528	4.5292
3.4	-5.07351	4.52601
3.5	-5.0704	4.52347
3.6	-5.0673	4.58172
3.7	-5.12637	4.57918
3.8	-5.12326	4.63738
3.9	-5.18224	4.63484
4	-5.17911	4.69299
4.1	-5.176	4.69047
4.2	-5.23488	4.68796
4.3	-5.23176	4.74604
4.4	-5.22865	4.74354
4.5	-5.22634	4.80218
4.6	-5.22325	4.79971
4.7	-5.282	4.85767
4.8	-5.27892	4.85522
4.9	-5.33759	4.85277
5	-5.3345	4.85038
5.1	-5.33144	4.84798
5.2	-5.32915	4.9065
5.3	-5.32611	4.90414
5.4	-5.38467	4.9018
5.5	-5.38163	4.89948
5.6	-5.44014	4.89719
5.7	-5.37638	4.95565
5.8	-5.43485	4.95338
5.9	-5.43186	4.95115
6	-5.49027	4.94895
6.1	-5.42668	5.00738
6.2	-5.48507	5.0052
6.3	-5.48213	5.00304
6.4	-5.47994	5.06146
6.5	-5.47704	5.05934
6.6	-5.53536	5.05726
6.7	-5.53321	5.11565
6.8	-5.53034	5.05369
6.9	-5.52821	5.11209
7	-5.52539	5.1101
7.1	-5.58364	5.10814
7.2	-5.52052	5.16654
7.3	-5.57876	5.10479
7.4	-5.5767	5.16321
7.5	-5.57399	5.16135
7.6	-5.57196	5.21977
7.7	-5.56928	5.15819
7.8	-5.56728	5.21663
7.9	-5.6255	5.21487
8	-5.56271	5.2136
8.1	-5.62092	5.21192
8.2	-5.61898	5.27039
8.3	-5.61644	5.20907
8.4	-5.61455	5.26757
8.5	-5.67274	5.26602
8.6	-5.61022	5.26486
8.7	-5.6684	5.26338
8.8	-5.66658	5.26229
8.9	-5.72476	5.26086
9	-5.6624	5.31945
9.1	-5.66064	5.31844
9.2	-5.71883	5.31711
9.3	-5.65662	5.31615
9.4	-5.71481	5.3149
9.5	-5.71314	5.31399
9.6	-5.71146	5.37269
9.7	-5.70927	5.31199
9.8	-5.70766	5.37072
9.9	-5.70606	5.36991
10	-5.76429	5.36888
10.1	-5.70241	5.36813
10.2	-5.7009	5.42696
10.3	-5.75917	5.3665
10.4	-5.75768	5.42537
10.5	-5.75621	5.42474
10.6	-5.75429	5.42395
10.7	-5.75288	5.42336
10.8	-5.75149	5.42283
10.9	-5.80982	5.42214
11	-5.80846	5.42167
11.1	-5.80714	5.48075
11.2	-5.74575	5.48032
11.3	-5.80414	5.42027
11.4	-5.8029	5.47944
11.5	-5.80167	5.47912
11.6	-5.80048	5.53836
11.7	-5.85892	5.47847
11.8	-5.85778	5.47825
11.9	-5.85665	5.53758
12	-5.79559	5.53742
12.1	-5.79454	5.53727
12.2	-5.85309	5.53715
12.3	-5.85208	5.53707
12.4	-5.85109	5.53705
12.5	-5.85014	5.59661
12.6	-5.84921	5.59664
12.7	-5.90786	5.53715
12.8	-5.90699	5.59684
12.9	-5.90612	5.59698
13	-5.9053	5.59716
13.1	-5.84472	5.59737
13.2	-5.84398	5.65721
13.3	-5.90278	5.59796
13.4	-5.90207	5.59828
13.5	-5.90141	5.65827
13.6	-5.90076	5.65867
13.7	-5.90016	5.65909
13.8	-5.89958	5.65955
13.9	-5.89903	5.71973
14	-5.95803	5.66075
14.1	-5.95755	5.66132
14.2	-5.9571	5.66192
14.3	-5.95666	5.72233
14.4	-5.95628	5.72301
14.5	-5.9559	5.72374
14.6	-5.95558	5.72448
14.7	-5.95527	5.72529
14.8	-5.955	5.78595
14.9	-5.95477	5.78683
15	-5.95456	5.78777
15.1	-6.01394	5.72917
15.2	-6.0138	5.73016
15.3	-6.01369	5.7911
15.4	-6.01363	5.79218
15.5	-6.0136	5.7933
15.6	-6.0136	5.79447
15.7	-6.01362	5.79567
15.8	-6.01368	5.79691
15.9	-6.01379	5.85821
16	-6.01392	5.85955
16.1	-6.01409	5.86092
16.2	-6.07384	5.86234
16.3	-6.07408	5.86379
16.4	-6.07433	5.8653
16.5	-6.07464	5.92698
16.6	-6.07499	5.92859
16.7	-6.07537	5.93022
16.8	-6.07577	5.9319
16.9	-6.07623	5.93362
17	-6.07672	5.93538
17.1	-6.07725	5.93719
17.2	-6.0778	5.93902
