elevation	error1	error2
21.6	-3.53902	3.96841
21.7	-3.61674	3.9008
21.8	-3.69344	3.98039
21.9	-3.69842	3.98572
22	-3.7034	4.06564
22.1	-3.78047	4.1458
22.2	-3.78561	4.22615
22.3	-3.86422	4.23319
22.4	-3.86945	4.2388
22.5	-3.87466	4.31961
22.6	-4.02631	4.32674
22.7	-4.03172	4.40787
22.8	-4.03713	4.48922
22.9	-4.11677	4.57226
23	-4.12227	4.65406
23.1	-4.20224	4.66163
23.2	-4.20786	4.74375
23.3	-4.28813	4.75142
23.4	-4.29386	4.91012
23.5	-4.37443	4.91802
23.6	-4.38027	5.07741
23.7	-4.46116	5.08549
23.8	-4.54227	5.17037
23.9	-4.62361	5.17851
24	-4.62972	5.33914
24.1	-4.71136	5.42467
24.2	-4.71907	5.51043
24.3	-4.80103	5.5964
24.4	-4.88324	5.68257
24.5	-4.96559	5.76895
24.6	-4.97363	5.85552
24.7	-5.05634	6.02033
24.8	-5.13921	6.10742
24.9	-5.14744	6.19472
25	-5.30727	6.28398
25.1	-5.31571	6.45023
25.2	-5.39932	6.61687
25.3	-5.48479	6.707
25.4	-5.56879	6.8744
25.5	-5.65474	7.04408
25.6	-5.74088	7.13492
25.7	-5.82548	7.38284
25.8	-5.91203	7.55378
25.9	-5.99875	7.72514
26	-6.08571	7.8968
26.1	-6.24905	8.14893
26.2	-6.33651	8.40163
26.3	-6.50249	8.57657
26.4	-6.59041	8.91082
26.5	-6.67852	9.24587
26.6	-6.84552	9.58376
26.7	-6.936	9.92237
26.8	-7.10375	10.3428
26.9	-7.27185	10.8455
27	-7.36306	11.4306
27.1	-7.53184	12.1803
27.2	-7.78052	12.9338
27.3	-7.95225	14.0984
27.4	-8.1243	15.6759
27.5	-8.37461	NaN
27.6	-8.54745	NaN
27.7	-8.80089	NaN
27.8	-9.05491	NaN
27.9	-9.39005	NaN
28	-9.64515	NaN
28.1	-9.98387	NaN
28.2	-10.4021	NaN
28.3	-10.8211	NaN
28.4	-11.3247	NaN
28.5	-11.9107	NaN
28.6	-12.5796	NaN
28.7	-13.4133	NaN
28.8	-14.4945	NaN
28.9	-15.9906	NaN
