elevation	error1	error2
0.1	-0.0629246	0.0629154
0.2	-0.125763	0.0628715
0.3	-0.125656	0.125624
0.4	-0.188358	0.12552
0.5	-0.188236	0.250848
0.6	-0.188088	0.250652
0.7	-0.250605	0.250445
0.8	-0.313038	0.250249
0.9	-0.250249	0.312583
1	-0.312583	0.312344
1.1	-0.374839	0.312092
1.2	-0.374598	0.374244
1.3	-0.374312	0.373951
1.4	-0.374063	0.43597
1.5	-0.436107	0.43563
1.6	-0.435825	0.497503
1.7	-0.497734	0.497117
1.8	-0.497432	0.496805
1.9	-0.497039	0.496416
2	-0.496726	0.558076
2.1	-0.558424	0.495719
2.2	-0.558076	0.5573
2.3	-0.557727	0.618797
2.4	-0.61927	0.55653
2.5	-0.61889	0.617941
2.6	-0.618506	0.617563
2.7	-0.618128	0.678857
2.8	-0.679469	0.616719
2.9	-0.67906	0.677931
3	-0.678644	0.677521
3.1	-0.678236	0.677113
3.2	-0.677827	0.738174
3.3	-0.677421	0.737734
3.4	-0.800105	0.675817
3.5	-0.799631	0.736764
3.6	-0.799158	0.736334
3.7	-0.798691	0.735898
3.8	-0.798221	0.796713
3.9	-0.797757	0.796248
4	-0.85868	0.795804
4.1	-0.858183	0.795351
4.2	-0.857694	0.794895
4.3	-0.857194	0.794459
4.4	-0.91797	0.855029
4.5	-0.856351	0.915652
4.6	-0.855867	0.91516
4.7	-0.916553	0.914653
4.8	-0.91604	0.91416
4.9	-0.915536	0.913666
5	-0.976094	0.913189
5.1	-0.975567	0.912689
5.2	-0.91416	0.973096
5.3	-0.974649	0.972585
5.4	-0.974123	0.97208
5.5	-0.973602	0.971593
5.6	-1.03399	0.971084
5.7	-0.972715	1.03132
5.8	-1.03305	1.03081
5.9	-1.03251	1.0303
6	-1.09275	0.96928
6.1	-1.03159	1.02942
6.2	-1.09179	1.02892
6.3	-1.09125	1.02843
6.4	-1.09084	1.08849
6.5	-1.09031	1.08797
6.6	-1.15039	1.02712
6.7	-1.08939	1.08709
6.8	-1.14944	1.08661
6.9	-1.08849	1.14653
7	-1.14849	1.08577
7.1	-1.14795	1.0853
7.2	-1.14756	1.14516
7.3	-1.14705	1.14468
