elevation	error1	error2
0.1	0	0
0.2	0	0
0.3	-0.0629746	0
0.4	0	0.0629759
0.5	0	0.0629779
0.6	0	0
0.7	0	0
0.8	-0.0629845	0
0.9	-0.0629891	0
1	-0.0629923	0
1.1	0	0.0629968
1.2	-0.0629994	0.0630014
1.3	-0.0630057	0.0630056
1.4	-0.0630106	0.0630118
1.5	-0.0630168	0.0630172
1.6	-0.126043	0.0630244
1.7	-0.126055	0.0630318
1.8	-0.0630331	0.126074
1.9	-0.12608	0.126089
2	-0.126096	0.126104
2.1	-0.12611	0.126122
2.2	-0.189189	0.189213
2.3	-0.189213	0.189244
2.4	-0.189244	0.189273
2.5	-0.252358	0.1893
2.6	-0.189291	0.252438
2.7	-0.189323	0.252484
2.8	-0.252469	0.252527
2.9	-0.252512	0.252576
3	-0.25256	0.252623
3.1	-0.315749	0.252675
3.2	-0.315811	0.252724
3.3	-0.315874	0.25278
3.4	-0.315918	0.379252
3.5	-0.315985	0.379339
3.6	-0.316055	0.379425
3.7	-0.379339	0.379519
3.8	-0.379425	0.37961
3.9	-0.442753	0.379706
4	-0.442859	0.379806
4.1	-0.442973	0.443243
4.2	-0.443048	0.506677
4.3	-0.443163	0.506819
4.4	-0.443284	0.506963
4.5	-0.506724	0.50711
4.6	-0.506863	0.507264
4.7	-0.570358	0.570873
4.8	-0.570529	0.571043
4.9	-0.5707	0.57123
5	-0.634268	0.571416
5.1	-0.634462	0.571606
5.2	-0.634595	0.698864
5.3	-0.6348	0.6991
5.4	-0.698474	0.699347
5.5	-0.698705	0.699597
5.6	-0.698936	0.699849
5.7	-0.762698	0.763802
5.8	-0.762964	0.764086
5.9	-0.826797	0.764375
6	-0.827091	0.764677
6.1	-0.890989	0.82878
6.2	-0.891323	0.829109
6.3	-0.827917	0.893196
6.4	-0.891886	0.957459
6.5	-0.89224	0.957856
6.6	-0.956283	0.958267
6.7	-0.956666	0.95868
6.8	-1.0208	1.02312
6.9	-1.02122	1.02357
7	-1.02164	1.02403
7.1	-1.08588	1.08862
7.2	-1.08635	1.08912
7.3	-1.15067	1.08964
7.4	-1.15118	1.15438
7.5	-1.21558	1.15493
7.6	-1.21614	1.1555
7.7	-1.28063	1.22041
7.8	-1.21707	1.28517
7.9	-1.28163	1.35023
8	-1.28223	1.35093
8.1	-1.34689	1.35163
8.2	-1.34754	1.41687
8.3	-1.34821	1.41762
8.4	-1.41299	1.48299
8.5	-1.4137	1.4838
8.6	-1.47857	1.48462
8.7	-1.47934	1.55017
8.8	-1.54432	1.55105
8.9	-1.54514	1.61675
9	-1.61022	1.61769
9.1	-1.61108	1.68354
9.2	-1.67628	1.68453
9.3	-1.67719	1.75053
9.4	-1.74251	1.75158
9.5	-1.74347	1.75265
9.6	-1.80889	1.81886
9.7	-1.80991	1.81998
9.8	-1.87545	1.88635
9.9	-1.87653	1.95283
10	-1.87762	1.95408
10.1	-1.94332	2.02073
10.2	-1.94447	2.02203
10.3	-2.01028	2.08886
10.4	-2.0115	2.09022
10.5	-2.07743	2.15723
10.6	-2.0787	2.15868
10.7	-2.14477	2.22585
10.8	-2.14611	2.29313
10.9	-2.2123	2.29471
11	-2.2137	2.36219
11.1	-2.34541	2.29844
11.2	-2.34692	2.36606
11.3	-2.41343	2.43379
11.4	-2.415	2.43553
11.5	-2.48163	2.50348
11.6	-2.48328	2.57153
11.7	-2.55004	2.57342
11.8	-2.55176	2.64167
11.9	-2.61867	2.71007
12	-2.62045	2.7121
12.1	-2.68751	2.78068
12.2	-2.68935	2.84942
12.3	-2.82252	2.85232
12.4	-2.8245	2.85452
12.5	-2.89188	2.92355
12.6	-2.89393	2.99273
12.7	-2.96149	3.06202
12.8	-2.96361	3.13149
12.9	-3.03129	3.13399
13	-3.03351	3.20365
13.1	-3.16773	3.20709
13.2	-3.17005	3.277
13.3	-3.17242	3.34707
13.4	-3.24052	3.41729
13.5	-3.24296	3.4201
13.6	-3.31124	3.49053
13.7	-3.38045	3.49443
13.8	-3.44895	3.56512
13.9	-3.4516	3.63596
14	-3.52025	3.70696
14.1	-3.52298	3.77813
14.2	-3.6588	3.78245
14.3	-3.66168	3.85387
14.4	-3.73071	3.92546
14.5	-3.73368	3.9972
14.6	-3.87014	4.00187
14.7	-3.87324	4.07389
14.8	-3.94267	4.14607
14.9	-3.94588	4.2184
15	-4.08298	4.22343
15.1	-4.08632	4.29605
15.2	-4.15615	4.36883
15.3	-4.1596	4.51081
15.4	-4.23079	4.51629
15.5	-4.30096	4.58959
15.6	-4.30456	4.66308
15.7	-4.44285	4.6688
15.8	-4.44659	4.81208
15.9	-4.51718	4.88611
16	-4.58919	4.89216
16.1	-4.66001	4.9665
16.2	-4.66403	5.11087
16.3	-4.80338	5.11728
16.4	-4.80757	5.19216
16.5	-4.87883	5.33739
16.6	-4.95167	5.34415
16.7	-4.956	5.41961
16.8	-5.09631	5.49697
16.9	-5.10083	5.57282
17	-5.24156	5.65064
17.1	-5.24621	5.72689
17.2	-5.31833	5.87416
17.3	-5.39219	5.88176
17.4	-5.39704	6.02967
17.5	-5.53874	6.03751
17.6	-5.54378	6.18602
17.7	-5.68586	6.26555
17.8	-5.69107	6.34323
17.9	-5.8336	6.42324
18	-5.83898	6.57306
18.1	-5.91405	6.65364
18.2	-5.98747	6.73223
18.3	-6.06287	6.81327
18.4	-6.2065	6.89453
18.5	-6.2123	7.04607
18.6	-6.35634	7.12794
18.7	-6.36235	7.2802
18.8	-6.4386	7.36266
18.9	-6.58332	7.44533
19	-6.58958	7.59872
19.1	-6.73475	7.68197
19.2	-6.81177	7.7655
19.3	-6.81831	7.91993
19.4	-6.96417	8.00402
19.5	-7.04172	8.08837
19.6	-7.11716	8.31762
19.7	-7.19506	8.40266
19.8	-7.27317	8.48792
19.9	-7.42026	8.64755
20	-7.42748	8.80475
20.1	-7.50609	8.96532
20.2	-7.6539	9.0519
20.3	-7.73296	9.21336
20.4	-7.8122	9.37532
20.5	-7.96082	9.46283
20.6	-8.04051	9.62563
20.7	-8.11773	9.8609
20.8	-8.19778	10.0248
20.9	-8.27801	10.1892
21	-8.4279	10.354
21.1	-8.50859	10.5194
21.2	-8.58944	10.6852
21.3	-8.74015	10.8515
21.4	-8.82148	11.0946
21.5	-8.90299	11.262
21.6	-9.05449	11.5064
21.7	-9.20938	11.6019
21.8	-9.29165	11.8476
21.9	-9.37407	12.094
22	-9.52677	12.3412
22.1	-9.60964	12.589
22.2	-9.69273	12.8377
22.3	-9.91978	13.0134
22.4	-10.0034	13.3412
22.5	-10.0872	13.592
22.6	-10.2451	13.8477
22.7	-10.3999	14.1782
22.8	-10.4844	14.5097
22.9	-10.6433	14.7679
23	-10.7283	15.1012
23.1	-10.9587	15.44
23.2	-11.0442	15.8543
23.3	-11.2046	16.1951
23.4	-11.2906	16.6117
23.5	-11.5226	17.0342
23.6	-11.6092	17.533
23.7	-11.771	18.0382
23.8	-11.9332	18.5447
23.9	-12.0958	19.0528
24	-12.2547	19.7181
24.1	-12.418	20.3906
24.2	-12.5817	21.146
24.3	-12.7458	21.9846
24.4	-12.9104	22.9068
24.5	-13.0752	24.0762
24.6	-13.3123	25.4123
24.7	-13.478	27.2434
24.8	-13.6441	30.3119
24.9	-13.8106	NaN
25	-14.0541	NaN
25.1	-14.2214	NaN
25.2	-14.3891	NaN
25.3	-14.7064	NaN
25.4	-14.875	NaN
25.5	-15.1213	NaN
25.6	-15.3681	NaN
25.7	-15.5381	NaN
25.8	-15.786	NaN
25.9	-16.0344	NaN
26	-16.2835	NaN
26.1	-16.5331	NaN
26.2	-16.7833	NaN
26.3	-17.1124	NaN
26.4	-17.3638	NaN
26.5	-17.6158	NaN
26.6	-17.947	NaN
26.7	-18.279	NaN
26.8	-18.6118	NaN
26.9	-18.9453	NaN
27	-19.2796	NaN
27.1	-19.6146	NaN
27.2	-20.0299	NaN
27.3	-20.4462	NaN
27.4	-20.8634	NaN
27.5	-21.2815	NaN
27.6	-21.6266	NaN
27.7	-22.1267	NaN
27.8	-22.6279	NaN
27.9	-23.2108	NaN
28	-23.7142	NaN
28.1	-24.3805	NaN
28.2	-24.9737	NaN
28.3	-25.6427	NaN
28.4	-26.4757	NaN
28.5	-27.392	NaN
28.6	-28.3919	NaN
28.7	-29.4825	NaN
28.8	-30.896	NaN
28.9	-32.8049	NaN
