elevation	error1	error2
0.1	0	0
0.2	0.0629736	0
0.3	0	0
0.4	0	0
0.5	0	0
0.6	0	0
0.7	0.0629821	0
0.8	0.0629848	0
0.9	0.0629886	0
1	0	-0.0629931
1.1	0.0629953	-0.062998
1.2	0.0630003	-0.0630013
1.3	0.0630052	-0.0630071
1.4	0.0630112	-0.063012
1.5	0.126031	-0.0630194
1.6	0.126043	-0.0630251
1.7	0.0630258	-0.126063
1.8	0.126066	-0.126077
1.9	0.12608	-0.126091
2	0.126097	-0.126107
2.1	0.126114	-0.126123
2.2	0.18919	-0.12614
2.3	0.189215	-0.12616
2.4	0.12616	-0.189264
2.5	0.189264	-0.2524
2.6	0.189296	-0.25244
2.7	0.189324	-0.252485
2.8	0.252472	-0.252531
2.9	0.252517	-0.252576
3	0.252563	-0.252627
3.1	0.315753	-0.252678
3.2	0.252646	-0.3159
3.3	0.315857	-0.315966
3.4	0.31592	-0.31604
3.5	0.315992	-0.316108
3.6	0.379261	-0.379432
3.7	0.379344	-0.379523
3.8	0.379432	-0.379616
3.9	0.442759	-0.379711
4	0.442867	-0.379811
4.1	0.442941	-0.44321
4.2	0.443053	-0.443331
4.3	0.443173	-0.506825
4.4	0.506597	-0.506969
4.5	0.506732	-0.507122
4.6	0.506875	-0.507272
4.7	0.570372	-0.507422
4.8	0.57054	-0.571058
4.9	0.634093	-0.571241
5	0.570826	-0.634882
5.1	0.634412	-0.635093
5.2	0.63461	-0.63531
5.3	0.634812	-0.69912
5.4	0.698486	-0.699362
5.5	0.698719	-0.699612
5.6	0.762457	-0.699866
5.7	0.762719	-0.763821
5.8	0.762986	-0.764108
5.9	0.826815	-0.764396
6	0.763446	-0.828363
6.1	0.827312	-0.892496
6.2	0.827624	-0.89285
6.3	0.891569	-0.893216
6.4	0.891909	-0.893584
6.5	0.892256	-0.957885
6.6	0.956311	-0.958291
6.7	0.956693	-0.95871
6.8	1.02082	-1.02315
6.9	1.02124	-1.0236
7	1.08545	-1.02407
7.1	1.08591	-1.08866
7.2	1.15021	-1.08915
7.3	1.1507	-1.08968
7.4	1.08717	-1.21846
7.5	1.15155	-1.21904
7.6	1.15207	-1.21964
7.7	1.21655	-1.28457
7.8	1.21711	-1.28522
7.9	1.28167	-1.28587
8	1.28227	-1.35098
8.1	1.34693	-1.35167
8.2	1.34758	-1.35239
8.3	1.41233	-1.41768
8.4	1.41303	-1.41844
8.5	1.47789	-1.48386
8.6	1.47864	-1.48468
8.7	1.54358	-1.55023
8.8	1.54437	-1.55112
8.9	1.54518	-1.552
9	1.61028	-1.61775
9.1	1.61113	-1.6187
9.2	1.67634	-1.6846
9.3	1.67725	-1.6856
9.4	1.74257	-1.75165
9.5	1.74353	-1.75272
9.6	1.80896	-1.81893
9.7	1.80999	-1.82005
9.8	1.87551	-1.88643
9.9	1.8766	-1.88763
10	1.94225	-1.95416
10.1	1.9434	-1.95541
10.2	2.00917	-2.02213
10.3	2.01036	-2.02345
10.4	2.07626	-2.09031
10.5	2.07752	-2.15732
10.6	2.14354	-2.15878
10.7	2.14486	-2.22594
10.8	2.211	-2.22746
10.9	2.21239	-2.29481
11	2.27866	-2.36229
11.1	2.28011	-2.36394
11.2	2.28158	-2.4316
11.3	2.34804	-2.4994
11.4	2.41511	-2.43565
11.5	2.48174	-2.50359
11.6	2.48339	-2.50541
11.7	2.55016	-2.57354
11.8	2.55187	-2.64181
11.9	2.61879	-2.7102
12	2.62057	-2.71223
12.1	2.68762	-2.78083
12.2	2.68948	-2.84956
12.3	2.75668	-2.85174
12.4	2.7586	-2.92069
12.5	2.89203	-2.92369
12.6	2.89407	-2.99288
12.7	2.96161	-3.06219
12.8	2.96375	-3.06461
12.9	3.03145	-3.13414
13	3.03367	-3.20381
13.1	3.1015	-3.27364
13.2	3.17021	-3.27719
